"","Specimen_Number","Collection","Lot_Number","Collector","Ecoregion","County","Coastal_Proximity","Location","Site","SoCal_Group","Island_Size","Latitude","Longitude","Epoch","Formation","Decade","Year","Season","Month","Mean_SST","Mean_SST_Sdev","Length_mm","Width_mm","Geometric_Mean","Globosity_WoverL","Aperture_mm","Thickness_mm","Habitat","Depth","BRY","BAR","LMP","TWS","COR","ALG","SCR","BOR_TAP","BOR_STR","BOR_INC","mean_pvolc3","sd_pvolc3","zooplankton_n_points_used","zooplankton_mean_distance","fish_total_catch_wt_kg","fish_cpue_kg_per_ha_der","sd_total_catch_wt_kg","sd_cpue_kg_per_ha_der","fish_n_points_used","fish_mean_distance","Population_Density","Population_Density_NoBaja","MPA","Image_url","Specimens_per_Lot"
"137",138,"CAS","217509","Smith","Southern California Bight","Los Angeles","Coastal","LA","Long Beach: South of ","Los Angeles",NA,33.71,-118.22,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,12.19,6.6,8.97,0.54,1.52,0.25,"algae forest","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,3
"138",139,"CAS","217509","Smith","Southern California Bight","Los Angeles","Coastal","LA","Long Beach: South of ","Los Angeles",NA,33.71,-118.22,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,10.16,5.59,7.54,0.55,1.52,0.25,"algae forest","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,3
"139",140,"CAS","217509","Smith","Southern California Bight","Los Angeles","Coastal","LA","Long Beach: South of ","Los Angeles",NA,33.71,-118.22,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,23.62,13.46,17.83,0.57,2.79,0.51,"algae forest","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,3
"140",141,"CAS","217540","KofoidRaymond","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1900,1901,NA,NA,16.20242214,1.719347781,22.73,11.52,16.18,0.51,2.68,0.26,"sand","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.093819976,1.093819976,"no",NA,3
"141",142,"CAS","217540","KofoidRaymond","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1900,1901,NA,NA,16.20242214,1.719347781,24.48,14.31,18.72,0.59,2.87,0.23,"sand","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.093819976,1.093819976,"no",NA,3
"142",143,"CAS","217540","KofoidRaymond","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1900,1901,NA,NA,16.20242214,1.719347781,37.96,20.06,27.59,0.53,5.13,0.64,"sand","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.093819976,1.093819976,"no",NA,3
"143",177,"CAS","217528","Smith","Southern California Bight","San Diego","Coastal","SD","South Point Loma","San Diego",NA,32.62,-117.25,"Holocene",NA,1900,1901,"Summer",7,16.31952929,1.697320698,24.27,13.57,18.15,0.56,3.18,0.41,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.898380995,0.898380995,"no",NA,6
"144",178,"CAS","217528","Smith","Southern California Bight","San Diego","Coastal","SD","South Point Loma","San Diego",NA,32.62,-117.25,"Holocene",NA,1900,1901,"Summer",7,16.31952929,1.697320698,22.83,13.07,17.27,0.57,3.26,0.31,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.898380995,0.898380995,"no",NA,6
"145",179,"CAS","217528","Smith","Southern California Bight","San Diego","Coastal","SD","South Point Loma","San Diego",NA,32.62,-117.25,"Holocene",NA,1900,1901,"Summer",7,16.31952929,1.697320698,22.22,13.2,17.13,0.59,3.38,0.34,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.898380995,0.898380995,"no",NA,6
"146",180,"CAS","217528","Smith","Southern California Bight","San Diego","Coastal","SD","South Point Loma","San Diego",NA,32.62,-117.25,"Holocene",NA,1900,1901,"Summer",7,16.31952929,1.697320698,24.79,14.54,18.99,0.59,3.59,0.56,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.898380995,0.898380995,"no",NA,6
"147",181,"CAS","217528","Smith","Southern California Bight","San Diego","Coastal","SD","South Point Loma","San Diego",NA,32.62,-117.25,"Holocene",NA,1900,1901,"Summer",7,16.31952929,1.697320698,29.87,17.58,22.92,0.59,3.61,0.59,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.898380995,0.898380995,"no",NA,6
"148",182,"CAS","217528","Smith","Southern California Bight","San Diego","Coastal","SD","South Point Loma","San Diego",NA,32.62,-117.25,"Holocene",NA,1900,1901,"Summer",7,16.31952929,1.697320698,25.25,15.12,19.54,0.6,4.19,0.36,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.898380995,0.898380995,"no",NA,6
"149",183,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,23.88,12.45,17.24,0.52,2.54,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"150",184,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,23.88,12.7,17.41,0.53,2.54,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"151",185,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,22.61,12.95,17.11,0.57,2.54,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"152",186,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,20.32,12.19,15.74,0.6,2.54,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"153",187,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,20.83,11.43,15.43,0.55,2.54,0.76,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"154",188,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,25.4,13.72,18.67,0.54,2.79,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"155",189,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,23.62,14.22,18.33,0.6,2.79,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"156",190,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,25.4,13.21,18.32,0.52,2.79,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"157",191,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,21.08,11.43,15.52,0.54,2.79,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"158",192,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,20.07,10.92,14.8,0.54,2.79,0.51,NA,"intertidal",0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"159",193,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,23.37,13.97,18.07,0.6,2.79,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"160",194,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,28.19,15.24,20.73,0.54,3.05,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"161",195,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,22.61,13.72,17.61,0.61,3.05,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"162",196,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,21.59,11.43,15.71,0.53,3.05,0.51,NA,"intertidal",0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"163",197,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,24.38,13.72,18.29,0.56,3.05,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"164",198,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,20.83,12.45,16.1,0.6,3.05,0.51,NA,"intertidal",0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"165",199,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,24.13,13.21,17.85,0.55,3.05,0.76,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"166",200,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,23.62,13.72,18,0.58,3.05,0.76,NA,"intertidal",0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"167",201,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,27.69,15.49,20.71,0.56,3.3,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"168",202,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,24.13,13.72,18.2,0.57,3.3,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"169",203,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,25.65,15.24,19.77,0.59,3.3,0.76,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"170",204,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,24.64,14.99,19.22,0.61,3.56,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"171",205,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,23.37,14.99,18.72,0.64,3.56,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"172",206,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,24.89,14.22,18.81,0.57,3.56,0.76,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,24
"173",207,"CAS","185181","Smith","Northern California","Monterey","Coastal","MO","Pacific Grove: Monterey Aquarium Bay",NA,NA,36.62,-121.9,"Holocene",NA,1910,1913,NA,NA,12.95645444,1.760573839,21.34,11.68,15.79,0.55,2.54,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78399992,2.78399992,"no",NA,17
"174",208,"CAS","185181","Smith","Northern California","Monterey","Coastal","MO","Pacific Grove: Monterey Aquarium Bay",NA,NA,36.62,-121.9,"Holocene",NA,1910,1913,NA,NA,12.95645444,1.760573839,23.88,13.21,17.76,0.55,2.79,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78399992,2.78399992,"no",NA,17
"175",209,"CAS","185181","Smith","Northern California","Monterey","Coastal","MO","Pacific Grove: Monterey Aquarium Bay",NA,NA,36.62,-121.9,"Holocene",NA,1910,1913,NA,NA,12.95645444,1.760573839,23.37,12.95,17.4,0.55,2.79,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78399992,2.78399992,"no",NA,17
"176",210,"CAS","185181","Smith","Northern California","Monterey","Coastal","MO","Pacific Grove: Monterey Aquarium Bay",NA,NA,36.62,-121.9,"Holocene",NA,1910,1913,NA,NA,12.95645444,1.760573839,21.59,12.19,16.22,0.57,2.79,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78399992,2.78399992,"no",NA,17
"177",211,"CAS","185181","Smith","Northern California","Monterey","Coastal","MO","Pacific Grove: Monterey Aquarium Bay",NA,NA,36.62,-121.9,"Holocene",NA,1910,1913,NA,NA,12.95645444,1.760573839,23.88,13.72,18.1,0.57,2.79,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78399992,2.78399992,"no",NA,17
"178",212,"CAS","185181","Smith","Northern California","Monterey","Coastal","MO","Pacific Grove: Monterey Aquarium Bay",NA,NA,36.62,-121.9,"Holocene",NA,1910,1913,NA,NA,12.95645444,1.760573839,21.84,12.19,16.32,0.56,2.79,0.76,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78399992,2.78399992,"no",NA,17
"179",213,"CAS","185181","Smith","Northern California","Monterey","Coastal","MO","Pacific Grove: Monterey Aquarium Bay",NA,NA,36.62,-121.9,"Holocene",NA,1910,1913,NA,NA,12.95645444,1.760573839,27.94,14.48,20.11,0.52,3.05,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78399992,2.78399992,"no",NA,17
"180",214,"CAS","185181","Smith","Northern California","Monterey","Coastal","MO","Pacific Grove: Monterey Aquarium Bay",NA,NA,36.62,-121.9,"Holocene",NA,1910,1913,NA,NA,12.95645444,1.760573839,21.59,13.21,16.89,0.61,3.05,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78399992,2.78399992,"no",NA,17
"181",215,"CAS","185181","Smith","Northern California","Monterey","Coastal","MO","Pacific Grove: Monterey Aquarium Bay",NA,NA,36.62,-121.9,"Holocene",NA,1910,1913,NA,NA,12.95645444,1.760573839,23.11,13.21,17.47,0.57,3.05,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78399992,2.78399992,"no",NA,17
"182",216,"CAS","185181","Smith","Northern California","Monterey","Coastal","MO","Pacific Grove: Monterey Aquarium Bay",NA,NA,36.62,-121.9,"Holocene",NA,1910,1913,NA,NA,12.95645444,1.760573839,22.61,13.21,17.28,0.58,3.05,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78399992,2.78399992,"no",NA,17
"183",217,"CAS","185181","Smith","Northern California","Monterey","Coastal","MO","Pacific Grove: Monterey Aquarium Bay",NA,NA,36.62,-121.9,"Holocene",NA,1910,1913,NA,NA,12.95645444,1.760573839,28.45,16.51,21.67,0.58,3.05,1.02,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78399992,2.78399992,"no",NA,17
"184",218,"CAS","185181","Smith","Northern California","Monterey","Coastal","MO","Pacific Grove: Monterey Aquarium Bay",NA,NA,36.62,-121.9,"Holocene",NA,1910,1913,NA,NA,12.95645444,1.760573839,23.11,13.72,17.81,0.59,3.3,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78399992,2.78399992,"no",NA,17
"185",219,"CAS","185181","Smith","Northern California","Monterey","Coastal","MO","Pacific Grove: Monterey Aquarium Bay",NA,NA,36.62,-121.9,"Holocene",NA,1910,1913,NA,NA,12.95645444,1.760573839,24.38,14.99,19.12,0.62,3.3,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78399992,2.78399992,"no",NA,17
"186",220,"CAS","185181","Smith","Northern California","Monterey","Coastal","MO","Pacific Grove: Monterey Aquarium Bay",NA,NA,36.62,-121.9,"Holocene",NA,1910,1913,NA,NA,12.95645444,1.760573839,27.94,14.99,20.47,0.54,3.56,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78399992,2.78399992,"no",NA,17
"187",221,"CAS","185181","Smith","Northern California","Monterey","Coastal","MO","Pacific Grove: Monterey Aquarium Bay",NA,NA,36.62,-121.9,"Holocene",NA,1910,1913,NA,NA,12.95645444,1.760573839,22.86,12.95,17.21,0.57,3.56,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78399992,2.78399992,"no",NA,17
"188",222,"CAS","185181","Smith","Northern California","Monterey","Coastal","MO","Pacific Grove: Monterey Aquarium Bay",NA,NA,36.62,-121.9,"Holocene",NA,1910,1913,NA,NA,12.95645444,1.760573839,31.24,19.81,24.88,0.63,4.06,0.76,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78399992,2.78399992,"no",NA,17
"189",223,"CAS","185181","Smith","Northern California","Monterey","Coastal","MO","Pacific Grove: Monterey Aquarium Bay",NA,NA,36.62,-121.9,"Holocene",NA,1910,1913,NA,NA,12.95645444,1.760573839,33.53,19.05,25.27,0.57,4.32,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78399992,2.78399992,"no",NA,17
"190",224,"CAS","217554","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.89,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,11.25,6.77,8.73,0.6,1.48,0.12,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,5
"191",225,"CAS","217554","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.89,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,11.3,6.94,8.86,0.61,1.52,0.2,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,5
"192",226,"CAS","217554","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.89,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,14.45,7.79,10.61,0.54,1.71,0.47,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,5
"193",227,"CAS","217554","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.89,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,20.99,10.57,14.9,0.5,2.1,0.46,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,5
"194",228,"CAS","217554","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.89,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,16.05,9.06,12.06,0.56,2.11,0.36,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,5
"195",229,"CAS","204236","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,18.29,9.4,13.11,0.51,2.03,0.51,NA,"intertidal",0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,10
"196",230,"CAS","204236","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,22.1,12.19,16.41,0.55,2.54,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,10
"197",231,"CAS","204236","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,21.08,11.43,15.52,0.54,2.79,0.25,NA,"intertidal",0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,10
"198",232,"CAS","204236","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,24.13,13.72,18.2,0.57,2.79,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,10
"199",233,"CAS","204236","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,24.13,13.21,17.85,0.55,3.05,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,10
"200",234,"CAS","204236","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,24.13,12.7,17.51,0.53,3.05,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,10
"201",235,"CAS","204236","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,27.69,14.73,20.2,0.53,3.05,0.51,NA,"intertidal",0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,10
"202",236,"CAS","204236","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,25.4,13.72,18.67,0.54,3.05,0.76,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,10
